STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TAVG,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,WT01,WT06,WT02,WT04,WT08
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130701,0.84,0.0,0.0,-9999,77,72,3.1,230,210,14.1,25.9,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130702,0.08,0.0,0.0,-9999,82,72,2.7,240,250,12.1,21.9,1,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130703,0.53,0.0,0.0,-9999,83,73,4.3,240,250,12.1,18.1,1,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130704,0.00,0.0,0.0,-9999,87,75,4.3,240,250,14.1,23.0,1,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130705,0.00,0.0,0.0,-9999,90,76,4.9,250,250,13.0,19.9,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130706,0.00,0.0,0.0,-9999,92,78,4.5,280,260,13.0,21.0,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130707,0.00,0.0,0.0,-9999,92,78,4.3,270,290,13.0,23.0,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130708,0.22,0.0,0.0,-9999,89,73,4.7,250,250,13.0,23.9,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130709,0.23,0.0,0.0,-9999,88,74,3.1,190,170,15.0,25.1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130710,0.00,0.0,0.0,-9999,85,75,4.3,250,250,13.0,19.9,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130711,0.00,0.0,0.0,-9999,84,76,3.8,50,240,10.1,17.0,1,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130712,0.25,0.0,0.0,-9999,77,68,9.6,70,70,18.1,27.1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130713,0.06,0.0,0.0,-9999,81,67,5.4,70,70,13.0,18.1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130714,0.00,0.0,0.0,-9999,90,74,4.0,250,240,10.1,16.1,1,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130715,0.00,0.0,0.0,-9999,94,78,3.6,60,10,8.9,16.1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130716,0.00,0.0,0.0,-9999,94,77,4.7,50,60,14.1,21.0,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130717,0.00,0.0,0.0,-9999,97,79,3.4,250,240,8.9,16.1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130718,0.00,0.0,0.0,-9999,98,81,3.8,250,280,8.9,15.0,-9999,-9999,-9999,-9999,1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130719,0.00,0.0,0.0,-9999,96,83,5.1,250,260,15.0,25.1,-9999,-9999,-9999,-9999,1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130720,0.00,0.0,0.0,-9999,93,81,5.8,250,250,15.0,25.9,-9999,-9999,-9999,-9999,1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130721,0.00,0.0,0.0,-9999,89,76,4.7,80,50,12.1,17.0,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130722,0.06,0.0,0.0,-9999,86,75,4.9,70,70,12.1,17.0,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130723,0.31,0.0,0.0,-9999,87,73,4.3,260,270,14.1,23.0,1,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130724,0.00,0.0,0.0,-9999,83,68,4.5,30,20,14.1,21.9,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130725,0.01,0.0,0.0,-9999,68,64,8.9,50,50,17.0,25.1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130726,0.00,0.0,0.0,-9999,83,65,5.1,70,30,13.0,18.1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130727,0.00,0.0,0.0,-9999,82,70,3.4,160,180,12.1,21.0,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130728,0.24,0.0,0.0,-9999,78,70,2.0,160,170,13.0,19.9,1,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130729,0.01,0.0,0.0,-9999,85,69,3.8,280,270,14.1,21.9,1,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130730,0.00,0.0,0.0,-9999,83,67,4.0,290,270,10.1,17.0,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130731,0.00,0.0,0.0,-9999,83,67,2.9,230,260,8.1,17.0,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130801,0.65,0.0,0.0,-9999,76,66,2.9,160,180,10.1,16.1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130802,0.00,0.0,0.0,-9999,83,67,4.5,270,250,13.0,25.1,1,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130803,0.06,0.0,0.0,-9999,78,68,3.4,260,250,13.0,18.1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130804,0.00,0.0,0.0,-9999,80,66,5.1,310,280,13.0,21.9,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130805,0.00,0.0,0.0,-9999,78,62,3.4,360,50,10.1,16.1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130806,0.00,0.0,0.0,-9999,82,64,2.7,210,170,8.9,17.0,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130807,0.00,0.0,0.0,-9999,80,70,5.1,160,190,13.0,21.9,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130808,0.46,0.0,0.0,-9999,81,70,4.5,170,170,10.1,19.0,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130809,0.05,0.0,0.0,-9999,85,74,4.3,250,260,16.1,21.9,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130810,0.00,0.0,0.0,-9999,83,70,4.9,270,270,14.1,21.0,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130811,0.00,0.0,0.0,-9999,81,65,2.5,280,280,8.9,14.1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130812,0.05,0.0,0.0,-9999,82,70,2.0,100,100,8.1,13.0,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130813,0.85,0.0,0.0,-9999,77,68,2.7,300,290,12.1,18.1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130814,0.00,0.0,0.0,-9999,74,61,6.5,310,310,15.0,28.0,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130815,0.00,0.0,0.0,-9999,78,59,3.6,290,260,10.1,16.1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130816,0.00,0.0,0.0,-9999,82,64,2.0,280,180,8.1,13.0,-9999,-9999,-9999,-9999,1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130817,0.00,0.0,0.0,-9999,84,64,2.0,110,200,8.1,11.0,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130818,0.00,0.0,0.0,-9999,76,68,2.9,70,50,10.1,15.0,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130819,0.00,0.0,0.0,-9999,79,66,3.4,250,250,8.9,17.0,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130820,0.00,0.0,0.0,-9999,88,68,2.9,280,280,8.9,14.1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130821,0.00,0.0,0.0,-9999,90,72,2.5,180,250,8.1,14.1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130822,0.25,0.0,0.0,-9999,78,71,3.8,260,280,10.1,16.1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130823,0.00,0.0,0.0,-9999,82,71,5.6,40,30,13.0,19.0,-9999,-9999,-9999,-9999,1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130824,0.00,0.0,0.0,-9999,80,65,4.9,50,50,14.1,19.9,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130825,0.00,0.0,0.0,-9999,83,64,4.0,290,270,10.1,19.0,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130826,0.04,0.0,0.0,-9999,84,68,5.8,260,260,14.1,21.9,1,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130827,0.01,0.0,0.0,-9999,87,71,4.7,40,40,12.1,17.0,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130828,0.43,0.0,0.0,-9999,86,71,2.7,290,280,8.9,14.1,-9999,-9999,-9999,-9999,-9999
